Species,SSPModel,ElevationRange,ElevationRangeNumeric,PercentSuitableHabitat
Rhy,Ahist,B,"""401-800""",91.55684952
Rhy,Current,B,"""401-800""",90.13433446
Tetra,zzssp245L,B,"""401-800""",98.85585862
Tetra,ssp245E,B,"""401-800""",72.45122076
Tetra,ssp370E,B,"""401-800""",57.15854531
Tetra,zzssp370L,B,"""401-800""",16.87863929
Tetra,Ahist,B,"""401-800""",98.14970886
Tetra,Current,B,"""401-800""",98.85585862
Thuid,ssp245E,B,"""401-800""",56.17274492
Thuid,zzssp245L,B,"""401-800""",44.68280723
Thuid,ssp370E,B,"""401-800""",40.8136684
Thuid,zzssp370L,B,"""401-800""",12.51276944
Thuid,Ahist,B,"""401-800""",77.94846256
Thuid,Current,B,"""401-800""",90.00025539
Atrichum,ssp245E,C,"""800-1200""",41.99813549
Atrichum,zzssp245L,C,"""800-1200""",42.92262275
Atrichum,ssp370E,C,"""800-1200""",37.86513362
Atrichum,zzssp370L,C,"""800-1200""",28.67464264
Atrichum,Ahist,C,"""800-1200""",51.77905531
Atrichum,Current,C,"""800-1200""",53.29397141
Broth,ssp245E,C,"""800-1200""",98.54723431
Broth,zzssp245L,C,"""800-1200""",96.64387819
Broth,ssp370E,C,"""800-1200""",96.37973897
Broth,zzssp370L,C,"""800-1200""",65.02486016
Broth,Ahist,C,"""800-1200""",99.79024239
Broth,Current,C,"""800-1200""",99.9300808
Bryhnia,ssp245E,C,"""800-1200""",97.86357986
Bryhnia,zzssp245L,C,"""800-1200""",94.77159727
Bryhnia,ssp370E,C,"""800-1200""",94.04133002
Bryhnia,zzssp370L,C,"""800-1200""",51.28185208
Bryhnia,Ahist,C,"""800-1200""",99.83685519
Bryhnia,Current,C,"""800-1200""",99.9456184
Dicrano,ssp245E,C,"""800-1200""",60.60441268
Dicrano,zzssp245L,C,"""800-1200""",57.16283406
Dicrano,ssp370E,C,"""800-1200""",48.3763207
Dicrano,zzssp370L,C,"""800-1200""",18.64512119
Dicrano,Ahist,C,"""800-1200""",81.78216283
Dicrano,Current,C,"""800-1200""",78.72125544
Dicranum,ssp245E,C,"""800-1200""",95.3697949
Dicranum,zzssp245L,C,"""800-1200""",91.53200746
Dicranum,ssp370E,C,"""800-1200""",90.32007458
Dicranum,zzssp370L,C,"""800-1200""",52.88222498
Dicranum,Ahist,C,"""800-1200""",98.07333748
Dicranum,Current,C,"""800-1200""",99.09881914
Hyp,ssp245E,C,"""800-1200""",64.69857054
Hyp,zzssp245L,C,"""800-1200""",41.75730267
Hyp,ssp370E,C,"""800-1200""",49.37849596
Hyp,zzssp370L,C,"""800-1200""",9.625543816
Hyp,Ahist,C,"""800-1200""",99.75916718
Hyp,Current,C,"""800-1200""",99.75916718
Poly,ssp245E,C,"""800-1200""",64.31789932
Poly,zzssp245L,C,"""800-1200""",67.61187073
Poly,ssp370E,C,"""800-1200""",53.1308266
